held_out_period,endpoint,family,assignment,auc,test_elements
3,GroupBlock,A,random_05,0.9629629629629629,8
3,StandardState,A,random_05,0.8541666666666666,8
3,GroupBlock,A,random_06,0.9259259259259259,8
3,StandardState,A,random_06,0.78125,8
3,GroupBlock,A,random_07,0.9259259259259259,8
3,StandardState,A,random_07,0.7760416666666666,8
3,GroupBlock,A,random_08,0.9259259259259259,8
3,StandardState,A,random_08,0.8229166666666666,8
3,GroupBlock,A,random_09,0.8148148148148148,8
3,StandardState,A,random_09,0.7760416666666666,8
3,GroupBlock,A,random_10,0.7777777777777778,8
3,StandardState,A,random_10,0.7760416666666666,8
3,GroupBlock,A,random_11,0.9629629629629629,8
3,StandardState,A,random_11,0.7864583333333334,8
3,GroupBlock,A,random_12,0.9629629629629629,8
3,StandardState,A,random_12,0.796875,8
3,GroupBlock,A,random_13,0.9259259259259259,8
3,StandardState,A,random_13,0.8072916666666666,8
3,GroupBlock,A,random_14,0.8888888888888888,8
3,StandardState,A,random_14,0.7552083333333334,8
3,GroupBlock,A,random_15,0.7777777777777778,8
3,StandardState,A,random_15,0.8333333333333334,8
3,GroupBlock,B,fixed,0.9259259259259259,8
3,StandardState,B,fixed,0.75,8
3,GroupBlock,B,random_00,0.7777777777777778,8
3,StandardState,B,random_00,0.7708333333333334,8
3,GroupBlock,B,random_01,0.8518518518518519,8
3,StandardState,B,random_01,0.765625,8
3,GroupBlock,B,random_02,0.9259259259259259,8
3,StandardState,B,random_02,0.8333333333333334,8
3,GroupBlock,B,random_03,0.9629629629629629,8
3,StandardState,B,random_03,0.828125,8
3,GroupBlock,B,random_04,0.9629629629629629,8
3,StandardState,B,random_04,0.8020833333333334,8
3,GroupBlock,B,random_05,0.9629629629629629,8
3,StandardState,B,random_05,0.859375,8
3,GroupBlock,B,random_06,0.9629629629629629,8
3,StandardState,B,random_06,0.7604166666666666,8
3,GroupBlock,B,random_07,0.9259259259259259,8
3,StandardState,B,random_07,0.8125,8
3,GroupBlock,B,random_08,0.9629629629629629,8
3,StandardState,B,random_08,0.7708333333333334,8
3,GroupBlock,B,random_09,0.9259259259259259,8
3,StandardState,B,random_09,0.796875,8
3,GroupBlock,B,random_10,0.9629629629629629,8
3,StandardState,B,random_10,0.7604166666666666,8
3,GroupBlock,B,random_11,0.9629629629629629,8
3,StandardState,B,random_11,0.8072916666666666,8
3,GroupBlock,B,random_12,0.9629629629629629,8
3,StandardState,B,random_12,0.8125,8
3,GroupBlock,B,random_13,0.9259259259259259,8
3,StandardState,B,random_13,0.8333333333333334,8
3,GroupBlock,B,random_14,0.9259259259259259,8
3,StandardState,B,random_14,0.7916666666666666,8
3,GroupBlock,B,random_15,0.9259259259259259,8
3,StandardState,B,random_15,0.7708333333333334,8
3,GroupBlock,C,fixed,0.8888888888888888,8
3,StandardState,C,fixed,0.7552083333333334,8
3,GroupBlock,C,random_00,0.9259259259259259,8
3,StandardState,C,random_00,0.8020833333333334,8
3,GroupBlock,C,random_01,0.9629629629629629,8
3,StandardState,C,random_01,0.84375,8
3,GroupBlock,C,random_02,0.8888888888888888,8
3,StandardState,C,random_02,0.7604166666666666,8
3,GroupBlock,C,random_03,0.9259259259259259,8
3,StandardState,C,random_03,0.796875,8
3,GroupBlock,C,random_04,0.9259259259259259,8
3,StandardState,C,random_04,0.7552083333333334,8
3,GroupBlock,C,random_05,0.9259259259259259,8
3,StandardState,C,random_05,0.7708333333333334,8
3,GroupBlock,C,random_06,0.9629629629629629,8
3,StandardState,C,random_06,0.7604166666666666,8
3,GroupBlock,C,random_07,0.8148148148148148,8
3,StandardState,C,random_07,0.75,8
3,GroupBlock,C,random_08,0.9259259259259259,8
3,StandardState,C,random_08,0.828125,8
3,GroupBlock,C,random_09,0.9629629629629629,8
3,StandardState,C,random_09,0.8125,8
3,GroupBlock,C,random_10,0.9629629629629629,8
3,StandardState,C,random_10,0.8333333333333334,8
3,GroupBlock,C,random_11,0.8888888888888888,8
3,StandardState,C,random_11,0.8333333333333334,8
3,GroupBlock,C,random_12,1.0,8
3,StandardState,C,random_12,0.7447916666666666,8
3,GroupBlock,C,random_13,0.8888888888888888,8
3,StandardState,C,random_13,0.7604166666666666,8
